name,address,timing,type,street,locality,region,postcode
ALDI - Elsassstraße 139 in Aachen ,"Elsassstraße 139
Aachen, Aachen 52068","Mo: 08:00-21:00
Di: 08:00-21:00
Mi: 08:00-21:00
Do: 08:00-21:00
Fr: 08:00-21:00
Sa: 08:00-21:00
So: geschlossen",Grocery Supermarket ,Elsassstraße 139,Aachen,Elsassstraße,"139
Aachen, Aachen 52068"
ALDI - Forster Straße 5 in Aachen ,"Forster Straße 5
Aachen, Aachen 52080","Mo: 08:00-21:00
Di: 08:00-21:00
Mi: 08:00-21:00
Do: 08:00-21:00
Fr: 08:00-21:00
Sa: 08:00-21:00
So: geschlossen",Grocery Supermarket ,Forster Straße 5,Aachen,Forster,"Straße 5
Aachen, Aachen 52080"
ALDI - Franzstraße 2 in Aachen ,"Franzstraße 2
Aachen, Aachen 52064","Mo: 08:00-21:00
Di: 08:00-21:00
Mi: 08:00-21:00
Do: 08:00-21:00
Fr: 08:00-21:00
Sa: 08:00-21:00
So: geschlossen",Grocery Supermarket ,Franzstraße 2,Aachen,Franzstraße,"2
Aachen, Aachen 52064"
ALDI - Freunder Weg 23 in Aachen ,"Freunder Weg 23
Aachen, Aachen 52068","Mo: 08:00-21:00
Di: 08:00-21:00
Mi: 08:00-21:00
Do: 08:00-21:00
Fr: 08:00-21:00
Sa: 08:00-21:00
So: geschlossen",Grocery Supermarket ,Freunder Weg 23,Aachen,Freunder,"Weg 23
Aachen, Aachen 52068"
ALDI - Grüner Weg 32 in Aachen ,"Grüner Weg 32
Aachen, Aachen 52070","Mo: 08:00-20:00
Di: 08:00-20:00
Mi: 08:00-20:00
Do: 08:00-20:00
Fr: 08:00-20:00
Sa: 08:00-20:00
So: geschlossen",Grocery Supermarket ,Grüner Weg 32,Aachen,Grüner,"Weg 32
Aachen, Aachen 52070"
ALDI - Lütticher Straße 504 in Aachen ,"Lütticher Straße 504
Aachen, Aachen 52074","Mo: 08:00-20:00
Di: 08:00-20:00
Mi: 08:00-20:00
Do: 08:00-20:00
Fr: 08:00-20:00
Sa: 08:00-20:00
So: geschlossen",Grocery Supermarket ,Lütticher Straße 504,Aachen,Lütticher,"Straße 504
Aachen, Aachen 52074"
ALDI - Neuenhofstraße 192 in Aachen ,"Neuenhofstraße 192
Aachen, Aachen 52078","Mo: 08:00-20:00
Di: 08:00-20:00
Mi: 08:00-20:00
Do: 08:00-20:00
Fr: 08:00-20:00
Sa: 08:00-20:00
So: geschlossen",Grocery Supermarket ,Neuenhofstraße 192,Aachen,Neuenhofstraße,"192
Aachen, Aachen 52078"
ALDI - Roder Weg 4 in Aachen ,"Roder Weg 4
Aachen, Aachen 52072","Mo: 08:00-20:00
Di: 08:00-20:00
Mi: 08:00-20:00
Do: 08:00-20:00
Fr: 08:00-20:00
Sa: 08:00-20:00
So: geschlossen",Grocery Supermarket ,Roder Weg 4,Aachen,Roder,"Weg 4
Aachen, Aachen 52072"
ALDI - Schillerstraße 20 in Aachen ,"Schillerstraße 20
Aachen, Aachen 52064","Mo: 08:00-21:00
Di: 08:00-21:00
Mi: 08:00-21:00
Do: 08:00-21:00
Fr: 08:00-21:00
Sa: 08:00-21:00
So: geschlossen",Grocery Supermarket ,Schillerstraße 20,Aachen,Schillerstraße,"20
Aachen, Aachen 52064"
ALDI - Süsterfeldstraße 63 in Aachen ,"Süsterfeldstraße 63
Aachen, Aachen 52072","Mo: 08:00-21:00
Di: 08:00-21:00
Mi: 08:00-21:00
Do: 08:00-21:00
Fr: 08:00-21:00
Sa: 08:00-21:00
So: geschlossen",Grocery Supermarket ,Süsterfeldstraße 63,Aachen,Süsterfeldstraße,"63
Aachen, Aachen 52072"
